Year,Coffee bean prices per pound,,,,,,,,,,
2001,$0.56 ,,,,,,,,,,
2002,$0.54 ,,,,,,,,,,
2003,$0.62 ,,,,,,,,,,
2004,$0.77 ,,,,,,,,,,
2005,$1.08 ,,,,,,,,,,
2006,$1.08 ,,,,,,,,,,
2007,$1.18 ,,,,,,,,,,
2008,$1.33 ,,,,,,,,,,
2009,$1.26 ,,,,,,,,,,
2010,$1.64 ,,,,,,,,,,
2011,$2.53 ,,,,,,,,,,
2012,$1.75 ,,,,,,,,,,
2013,$1.26 ,,,,,,,,,,
2014,$1.78 ,,,,,,,,,,
2015,$1.33 ,,,,,,,,,,
2016,$1.37 ,,,,,,,,,,
2017,$1.33 ,,,,,,,,,,
2018,$1.14 ,,,,,,,,,,
2019,$1.02 ,,,,,,,,,,
2020,$1.11 ,,,,,,,,,,
2021,$1.69 ,,,,,,,,,,
2022,$2.14 ,,,,,,,,,,
2023,$1.74 ,,,,,,,,,,
,,,,,,,,,,,
